lead_col,target_col,lag_months,correlation,abs_correlation,observations
gpr,price_zinc,1,0.43004281864739946,0.43004281864739946,155
gpr,price_aluminum,0,0.40989189923851765,0.40989189923851765,156
gpr,price_iron_ore,11,-0.4081096153809859,0.4081096153809859,145
gpr,price_copper,12,-0.4062772221375563,0.4062772221375563,144
gpr,price_tin,0,0.3763948622359147,0.3763948622359147,156
gpr,price_gold,12,-0.3530991096137956,0.3530991096137956,144
gpr,price_nickel,12,-0.34962020394645366,0.34962020394645366,144
gpr,price_silver,12,-0.31365749817518357,0.31365749817518357,144
gpr,price_platinum,11,-0.29214934974898343,0.29214934974898343,145
gpr,price_lead,6,-0.16479058371551272,0.16479058371551272,150
