lead_col,target_col,lag_months,correlation,abs_correlation,observations
gpr,gscpi,12,-0.26813159220218563,0.26813159220218563,144
gpr,gscpi,11,-0.2063259822078937,0.2063259822078937,145
gpr,gscpi,1,0.17202230049376246,0.17202230049376246,155
gpr,gscpi,10,-0.1647091212540348,0.1647091212540348,146
gpr,gscpi,0,0.16197341662681594,0.16197341662681594,156
gpr,gscpi,2,0.13205246389884723,0.13205246389884723,154
gpr,gscpi,3,0.08547195351141393,0.08547195351141393,153
gpr,gscpi,9,-0.08282232335232506,0.08282232335232506,147
gpr,gscpi,8,-0.05773221191922103,0.05773221191922103,148
gpr,gscpi,7,-0.05412515940560733,0.05412515940560733,149
gpr,gscpi,6,-0.036075887678885574,0.036075887678885574,150
gpr,gscpi,4,0.0301134965439736,0.0301134965439736,152
gpr,gscpi,5,-0.008827529235083384,0.008827529235083384,151
