end,Revenues,CapEx,R&D,Ticker,Sector,CapEx_intensity,R&D_intensity,US_Total_CapEx_Millions
2008-09-30,892676000.0,,212910000.0,NVDA,semiconductor,,0.2385075884195385,4169540.0
2008-12-31,897655000.0,,212360000.0,NVDA,semiconductor,,0.2365719569322289,3900036.0
2009-03-31,897655000.0,,212360000.0,NVDA,semiconductor,,0.2365719569322289,3604446.0
2009-06-30,664231000.0,,301797000.0,NVDA,semiconductor,,0.4543554877745844,3450455.0
2009-09-30,776520000.0,,192855000.0,NVDA,semiconductor,,0.248358059032607,3464828.0
2009-12-31,2343957000.0,,692600000.0,NVDA,semiconductor,,0.2954832362539074,3597534.0
2010-03-31,2343957000.0,,692600000.0,NVDA,semiconductor,,0.2954832362539074,3623996.0
2010-06-30,1001813000.0,,218105000.0,NVDA,semiconductor,,0.2177102912419783,3770764.0
2010-09-30,1813021000.0,,428740000.0,NVDA,semiconductor,,0.2364782316365888,3867806.0
2010-12-31,843912000.0,,204527000.0,NVDA,semiconductor,,0.2423558380494648,3892007.0
2011-03-31,843912000.0,,204527000.0,NVDA,semiconductor,,0.2423558380494648,3861338.0
2011-06-30,962039000.0,31195000.0,231524000.0,NVDA,semiconductor,0.0324259203628958,0.2406596821958361,3944963.0
2011-09-30,1978556000.0,54518000.0,479245000.0,NVDA,semiconductor,0.0275544386916518,0.2422195783187334,3976618.0
2011-12-31,1066180000.0,93553000.0,256498000.0,NVDA,semiconductor,0.0877459715995423,0.240576638091129,4178714.0
2012-03-31,1066180000.0,93553000.0,256498000.0,NVDA,semiconductor,0.0877459715995423,0.240576638091129,4266694.0
2012-06-30,924877000.0,28923000.0,283902000.0,NVDA,semiconductor,0.0312722664743528,0.306961898717343,4331791.0
2012-09-30,1969147000.0,90867000.0,565095000.0,NVDA,semiconductor,0.0461453614179134,0.2869745123142152,4339022.0
2012-12-31,1204110000.0,135551000.0,284180000.0,NVDA,semiconductor,0.1125736020795442,0.2360083381086445,4345134.0
2013-03-31,1204110000.0,135551000.0,284180000.0,NVDA,semiconductor,0.1125736020795442,0.2360083381086445,4455945.0
2013-06-30,954739000.0,65667000.0,327161000.0,NVDA,semiconductor,0.0687800540252362,0.3426706146915544,4488030.0
2013-09-30,977238000.0,150653000.0,331738000.0,NVDA,semiconductor,0.1541620362695679,0.3394649000550531,4609098.0
2013-12-31,1053967000.0,188812000.0,340294000.0,NVDA,semiconductor,0.1791441288009966,0.3228696913660485,4656154.0
2014-03-31,1053967000.0,188812000.0,340294000.0,NVDA,semiconductor,0.1791441288009966,0.3228696913660485,4634194.0
2014-06-30,1103000000.0,29000000.0,334000000.0,NVDA,semiconductor,0.0262919310970081,0.3028105167724388,4818825.0
2014-09-30,1103000000.0,52000000.0,337000000.0,NVDA,semiconductor,0.0471441523118767,0.3055303717135086,4921976.0
2014-12-31,1225000000.0,91000000.0,340000000.0,NVDA,semiconductor,0.0742857142857142,0.2775510204081632,4972633.0
2015-03-31,1225000000.0,91000000.0,340000000.0,NVDA,semiconductor,0.0742857142857142,0.2775510204081632,5081280.0
2015-06-30,1151000000.0,30000000.0,339000000.0,NVDA,semiconductor,0.0260642919200695,0.2945264986967854,5133740.0
2015-09-30,2304000000.0,54000000.0,658000000.0,NVDA,semiconductor,0.0234375,0.2855902777777778,5159649.0
2015-12-31,1305000000.0,71000000.0,329000000.0,NVDA,semiconductor,0.0544061302681992,0.2521072796934865,5129514.0
2016-03-31,1305000000.0,71000000.0,329000000.0,NVDA,semiconductor,0.0544061302681992,0.2521072796934865,5125028.0
2016-06-30,1305000000.0,55000000.0,346000000.0,NVDA,semiconductor,0.0421455938697318,0.2651340996168582,5131559.0
2016-09-30,1428000000.0,87000000.0,350000000.0,NVDA,semiconductor,0.0609243697478991,0.2450980392156862,5165786.0
2016-12-31,2004000000.0,125000000.0,373000000.0,NVDA,semiconductor,0.062375249500998,0.186127744510978,5282608.0
2017-03-31,2004000000.0,125000000.0,373000000.0,NVDA,semiconductor,0.062375249500998,0.186127744510978,5294668.0
2017-06-30,1937000000.0,54000000.0,411000000.0,NVDA,semiconductor,0.02787816210635,0.2121837893649974,5384584.0
2017-09-30,2230000000.0,108000000.0,416000000.0,NVDA,semiconductor,0.0484304932735426,0.1865470852017937,5481513.0
2017-12-31,2636000000.0,177000000.0,462000000.0,NVDA,semiconductor,0.0671471927162367,0.1752655538694992,5622002.0
